pct_scroll_move_duration	pct_mouse_move	mouse_move_total_rel_distance	page_activity_duration	pct_scrandom	screen_width	ack	pct_mouse_click	pct_input	pct_click	session_id	product_ean	browser_name	total_load_time	pct_scroll_move	user_id	scroll_move_total_rel_distance	pct_click_product_info	session_duration	pct_wild_mouse	screen_height	session_start	pct_rage_click	wild_mouse_duration	pct_doubleclick
9.59904	7.68939	5.37487	8.36462	31.30541	800	0.00000	9.13505	0.04125	9.68902	1365955	0146008363706	chrome	0.15457	62.54018	2181	11.36007	46.97437	66.07483	56.99436	800	2021-07-25 06:48:47	50.79621	13.68951	12.36846
7.53387	8.62357	9.09357	10.26733	53.09397	lower	1.00000	8.63617	0.00756	12.24018	365449	5312917908825	chrome	4.27087	51.08390	447	7.83061	47.09336	133.26423	19.65326	higher	2019-01-11 02:58:46	49.31536	11.98616	7.30068
8.27570	9.14421	7.75349	11.57870	37.21614	lower	1.00000	8.69043	0.01219	10.83064	319711	4713416995056	mobile	4.00361	53.07128	1958	8.30039	25.37883	97.32817	18.45055	768	2020-11-29 07:57:48	36.50380	12.46916	7.71466
9.38995	9.19876	7.21016	6.81575	56.69968	higher	0.00000	9.37578	0.00616	11.86437	1237430	0400458900110	edge	5.36336	64.57439	1195	9.38410	47.34555	120.87960	35.62900	600	2019-08-25 20:50:57	55.56358	11.78585	12.05817
8.50961	9.03280	8.92165	7.77596	58.27990	1366	0.00000	9.91178	0.00026	11.65294	1429962	4650452866929	mobile	7.99641	45.43422	1241	7.14706	35.27738	128.79379	61.64424	800	2019-02-14 23:18:06	63.49090	8.42849	12.72820
10.21832	9.43535	6.90738	8.87715	61.59385	800	0.00000	8.42163	0.00706	9.36515	532823	3445908606690	chrome	4.06073	57.25560	861	10.70841	46.55054	96.57449	49.70690	768	2020-01-25 09:21:16	51.62031	11.92129	10.68348
9.20667	7.68551	9.28631	12.15507	60.50197	1280	1.00000	9.54248	0.00066	11.30455	498015	7358796390335	edge	4.86095	64.30742	1564	6.36214	62.14537	220.15337	68.32509	higher	2023-01-20 17:47:07	54.91277	9.47454	8.66061
11.58698	7.89738	5.26747	7.82637	51.91945	1024	0.00000	9.52604	0.89685	12.35949	1214105	0103044156440	mobile	7.87145	49.62408	706	11.83530	54.75010	161.45445	42.82581	1024	2020-01-12 15:16:11	28.96014	16.77012	8.95442
7.90503	6.68109	7.48941	6.70536	28.12437	1024	1.00000	9.84986	0.03532	9.98110	232342	2299161697657	edge	1.93338	44.64533	1639	11.22535	54.34717	70.47641	37.00607	1080	2020-05-02 07:27:46	56.22873	13.53351	5.77974
10.03651	8.96228	7.52038	7.79646	59.84577	800	0.00000	7.90016	0.00490	10.98318	835475	6117168203618	mobile	4.17479	65.37140	2378	9.57595	40.08596	122.40786	48.09876	1024	2021-06-21 08:12:05	43.72009	11.54235	10.26609
10.44236	8.72921	7.89938	6.81804	45.77092	1280	0.00000	9.05434	0.01223	12.88214	465578	5632807329333	chrome	4.48886	53.42998	548	9.49545	44.78103	122.10272	45.61267	600	2019-04-20 12:09:01	51.89437	12.47149	9.96214
8.19437	8.65660	6.27095	9.83715	48.84609	1366	0.00000	7.64620	0.41074	13.30929	1250518	5368207952917	chrome	4.67357	50.73544	1742	9.93287	42.39309	120.08056	40.46268	768	2020-03-18 02:06:49	47.94453	15.98923	11.39472
5.83459	7.94460	8.28897	8.13063	54.89439	800	0.00000	8.33309	0.00516	10.36119	1351045	4540072636609	edge	2.41534	75.12708	2025	9.09281	45.56923	136.35380	29.28518	higher	2019-09-20 12:06:32	47.39469	11.59569	8.33750
7.86497	10.23095	4.88084	5.20931	49.14260	1280	1.00000	10.75134	0.05627	11.08590	1341383	6465017810594	other	4.24254	38.14431	1688	9.63346	41.12870	105.71763	43.24400	600	2019-12-02 01:10:38	41.66372	14.00001	8.50626
9.01045	8.42056	4.65077	10.69498	44.55240	1920	0.00000	9.74407	2.97475	12.52687	836432	3950371631341	chrome	9.38555	70.76845	802	10.74120	52.07426	136.00680	34.28157	768	2021-11-07 10:25:27	57.15877	17.96918	9.58386
7.15863	9.66495	9.98697	8.86948	48.18649	lower	0.00000	9.71641	0.00887	9.48232	1235672	6731892472739	edge	0.43587	49.77870	824	11.52629	40.73962	271.51706	34.78605	600	2021-04-03 06:51:29	43.00048	12.15395	6.14955
9.04869	8.85870	6.84124	6.71458	51.59348	1024	0.00000	10.12766	0.11587	11.97430	276304	6953113066200	chrome	2.93088	39.26233	260	11.73865	54.17708	107.71686	41.55612	lower	2020-12-09 00:16:16	44.41430	14.72321	11.16738
11.79981	10.61877	4.95933	8.35413	32.39050	1024	1.00000	7.90836	0.00723	11.28105	1059155	9105988658081	edge	3.08018	49.16723	145	6.55715	62.56065	181.88303	29.36014	1024	2021-07-26 01:21:56	61.76544	11.94165	5.77740
11.49094	8.62121	6.73527	11.35264	84.79306	1366	1.00000	9.43314	0.00337	9.96580	237838	3947679782158	safari	1.67228	57.47100	814	7.18556	35.39833	182.82168	74.26574	1024	2021-09-27 22:01:51	58.61114	11.17333	5.18654
7.16654	9.66040	5.97495	5.74545	58.91996	lower	0.00000	8.18591	0.05302	10.86405	524438	8778306585720	chrome	9.83410	46.31177	2352	10.23743	21.71719	111.74743	52.27346	768	2022-10-19 13:33:08	52.22295	13.94137	8.07597
12.39067	8.93565	9.49902	5.07509	44.15030	1024	0.00000	8.33358	0.00074	9.90945	911914	6089658794404	firefox	4.94618	27.13932	1377	11.26070	75.56313	202.32180	51.76366	768	2018-10-01 10:49:15	44.82004	9.57967	7.52339
10.74382	10.24379	8.27068	4.89102	52.46541	800	0.00000	9.63140	0.00181	9.84627	46865	8176770006350	mobile	5.39016	59.08974	512	11.41668	36.70097	60.55890	33.09821	1080	2018-09-29 10:56:51	56.65206	10.54111	9.69195
12.48308	8.34993	6.88704	10.35320	71.62871	800	1.00000	8.20860	0.00115	6.88879	1043713	0479552935847	chrome	3.83080	40.54968	351	9.90335	47.71701	112.92747	37.32858	768	2023-05-30 09:51:44	69.57670	10.02958	6.01748
10.73574	8.09696	7.19378	10.64474	62.96419	1024	0.00000	6.87476	0.00158	10.00509	275145	9279045066420	chrome	0.86102	69.83570	1720	7.45123	48.65567	173.45367	45.00084	768	2022-02-17 08:32:33	54.91907	10.39530	7.69005
